EXPEDIENTE,ADMINISTRADO,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TEMA,INCUMPLIMIENTO,RESOLUCION,MULTA,AMONESTACION_ESCRITA,REMOCION,ARCHIVO,MEDIDA_CORRECTIVA,ANIO,MES,FECHA_CORTE
022-2022-PAS,EPS TACNA SA,230101,TACNA,TACNA,TACNA,Solicitud de ampliación de plazo,Resolucion 157-2022-SUNASS-DS,1-2023-SUNASS-DS,0,0,0,0,0,2023,202301,20231031
PAS-003-2022-SUNASS-ODS-SMA,EMAPA SAN MARTIN SA,220901,SAN MARTIN,SAN MARTIN,TARAPOTO,Estructura tarifaria,No aplicar ajustes por IPM/Proporcionar con retraso la información solicitada,2-2023-SUNASS-DS,0,0,0,1,0,2023,202301,20231031
061-2022-PAS,EPS SEDAM HUANCAYO SA,120101,JUNIN,HUANCAYO,HUANCAYO,Cobros indebidos,No implementar MC,3-2023-SUNASS-DS,0.98,0,0,0,1,2023,202301,20231031
062-2022-PAS,EPS MUNICIPAL MANTARO SA,120401,JUNIN,JAUJA,JAUJA,Cobros indebidos,No implementar MC,4-2023-SUNASS-DS,0.43,0,0,0,1,2023,202301,20231031
057-2022-PAS,SEDALIB SA,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,"Metas sobre Monitoreo y Gestión de Aguas Subterráneas	",ICG e ICI a nivel de EPS menores al 90%,5-2023-SUNASS-DS,9.1,0,0,0,0,2023,202301,20231031
063-2022-PAS,SEDACHIMBOTE SA,21801,ANCASH,SANTA,CHIMBOTE,Cobros en exceso y cobros indebidos,No implementar MC,6-2023-SUNASS-DS,0.06,0,0,0,0,2023,202301,20231031
064-2022-PAS,EPS SEDAJULIACA SA,211101,PUNO,SAN ROMAN,JULIACA,Buen gobierno corporativo,No implementar MC,7-2023-SUNASS-DS,0.03,0,0,0,0,2023,202301,20231031
PAS-002-2022SUNASS-ODS-CAJ,EPS MARAÑON SA,60801,CAJAMARCA,JAEN,JAEN,Metas de gestión,ICG menor al 85% e ICI a nivel de EPS y localidad menores al 80%,8-2023-SUNASS-DS,0.31,0,0,0,0,2023,202301,20231031
069-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",9-2023-SUNASS-DS,15,0,0,0,0,2023,202301,20231031
066-2022-PAS,EPS SEDA LORETO SA,160101,LORETO,MAYNAS,IQUITOS,Cobros en exceso,No implementar MC,10-2023-SUNASS-DS,0.09,0,0,0,3,2023,202301,20231031
PAS-001-2022-SUNASS-ODS-LOR,EPS SEDA LORETO SA,160101,LORETO,MAYNAS,IQUITOS,Cobros en exceso,No implementar MC,11-2023-SUNASS-DS,3.77,0,0,0,3,2023,202301,20231031
070-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Atención de problemas operacionales ,Numeral 14 del item C del Anexo 4,12-2023-SUNASS-DS,119.89,0,0,0,0,2023,202301,20231031
053-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Rectificación de error material,Resolución 218-2022-SUNASS-DS,13-2023-SUNASS-DS,0,0,0,0,0,2023,202301,20231031
068-2022-PAS,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales,No implementar MC,14-2023-SUNASS-DS,0.58,0,0,0,0,2023,202301,20231031
078-2022-PAS,EMSAPA YAULI LA OROYA SRL,120801,JUNIN,YAULI,LA OROYA,VMA,"Numeral 58, item K del Anexo 4",15-2023-SUNASS-DS,2,0,0,0,0,2023,202301,20231031
PAS-007-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",16-2023-SUNASS-DS,15,0,0,0,0,2023,202301,20231031
PAS-0003-2022-SUNASS-ODS-LAM,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Supervisión,"Numeral 30, item F del Anexo 4",17-2023-SUNASS-DS,0,0,0,1,0,2023,202301,20231031
PAS-006-2022-SUNASS-ODS-CHI,SEDACHIMBOTE SA,21801,ANCASH,SANTA,CHIMBOTE,Estructura tarifaria,No aplicar ajustes por IPM,18-2023-SUNASS-DS,0,0,0,1,0,2023,202301,20231031
075-2022-PAS,EPS RIOJA SA,220801,SAN MARTIN,RIOJA,RIOJA,VMA,"Numeral 58, item K del Anexo 4",19-2023-SUNASS-DS,2,0,0,0,0,2023,202301,20231031
PAS-0005-2022-SUNASS-ODS-AYA,SEDA AYACUCHO SA,50101,AYACUCHO,HUAMANGA,AYACUCHO,Fondos y/o reservas,No implementar MC,20-2023-SUNASS-DS,0,0,0,1,0,2023,202301,20231031
072-2022-PAS,EPS SEDACUSCO SA,80108,CUSCO,CUSCO,WANCHAQ,Comercial,No implementar MC,21-2023-SUNASS-DS,0.005,0,0,0,0,2023,202301,20231031
073-2022-PAS,EPS SEDACUSCO SA,80108,CUSCO,CUSCO,WANCHAQ,Comercial,No implementar MC,22-2023-SUNASS-DS,0.24,0,0,0,0,2023,202301,20231031
071-2022-PAS,EPS SEDAM HUANCAYO SA,120101,JUNIN,HUANCAYO,HUANCAYO,Operacionales,No implementar MC,23-2023-SUNASS-DS,0.02,0,0,0,0,2023,202301,20231031
076-2022-PAS,EPS BARRANCA SA,150201,LIMA,BARRANCA,BARRANCA,VMA,"Numeral 55, item K del Anexo 4",24-2023-SUNASS-DS,6.91,0,0,0,0,2023,202301,20231031
074-2022-PAS,Jorge Aspillaga Valderrama- Gte. Operaciones- EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Buen gobierno corporativo,"Numeral 75-E, item L del Anexo N° 4",25-2023-SUNASS-DS,0,0,0,0,0,2023,202302,20231031
034-2022-PAS,EPS SEMAPACH SA,110201,ICA,CHINCHA,CHINCHA ALTA,Cobros en exceso,No implementar MC,26-2023-SUNASS-DS,62.69,0,0,0,0,2023,202302,20231031
037-2022-PAS,EPS CHAVIN SA,20101,ANCASH,HUARAZ,HUARAZ,Solicitud de ampliación de plazo,Resolucion 198-2022-SUNASS-DS,27-2023-SUNASS-DS,0,0,0,0,0,2023,202302,20231031
PAS-005-2022-SUNASS-ODS-JUN,EPS SIERRA CENTRAL SRL,120701,JUNIN,TARMA,TARMA,Fondos y/o reservas,No efectuar desembolsos en Reserva,28-2023-SUNASS-DS,0,1,0,0,0,2023,202302,20231031
PAS-003-2022-SUNASS-ODS-HUA,EMAPA HUANCAVELICA SA,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Calidad de facturación,No implementar MC,29-2023-SUNASS-DS,1.22,0,0,0,0,2023,202302,20231031
PAS-007-2022-SUNASS-ODS-AYA,SEDA AYACUCHO SA,50101,AYACUCHO,HUAMANGA,AYACUCHO,Supervisión,"Numeral 30, item F del Anexo 4",30-2023-SUNASS-DS,0,0,0,1,0,2023,202302,20231031
080-2022-PAS,EPS EMSAP CHANKA SA,30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,Cobros en exceso,No implementar MC,31-2023-SUNASS-DS,0.09,0,0,0,1,2023,202302,20231031
079-2022-PAS,EMAPA SAN MARTIN SA,220901,SAN MARTIN,SAN MARTIN,TARAPOTO,Operacionales,No implementar MC,32-2023-SUNASS-DS,0.67,0,0,0,0,2023,202302,20231031
005-2022-SUNASS-ODS-CUS,EPS EMAQ SRL ,80901,CUSCO,LA CONVENCION,SANTA ANA,Metas de gestión,ICG menor al 85% e ICI a nivel de EPS menor al 80%,33-2023-SUNASS-DS,9.71,0,0,0,0,2023,202302,20231031
PAS-003-2022-SUNASS-ODS-CAJ,EPS MARAÑON SA,60801,CAJAMARCA,JAEN,JAEN,Cobros en exceso,No implementar MC,34-2023-SUNASS-DS,0.1,0,0,0,2,2023,202302,20231031
PAS-0002-2022-SUNASS-ODS-APU,EPS EMUSAP ABANCAY SA,30101,APURIMAC,ABANCAY,ABANCAY,Supervisión,"Numeral 30, item F del Anexo 4",35-2023-SUNASS-DS,0,0,0,1,0,2023,202302,20231031
091-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Supervisión,"Numeral 30, item F del Anexo 4",36-2023-SUNASS-DS,15,0,0,0,0,2023,202302,20231031
082-2022-PAS,EPS EMAQ SRL ,80901,CUSCO,LA CONVENCION,SANTA ANA,VMA,"Numeral 58, item K del Anexo 4",37-2023-SUNASS-DS,2,0,0,0,0,2023,202302,20231031
